"挨拶","あいさつ","名，サ変","打招呼；致词；寒暄、问候"
"間","あいだ","名","间隔、期间；中间"
"会う","あう","自五","会面、见面"
"合う","あう","自五，辅助","一致、符合；互相"
"遭う，遇う","あい","自五","遇到、遭遇"
"喘ぐ","あえぐ","自五","喘息、挣扎"
"青い","あおい","形","青色、蓝色、绿色；不成熟"
"仰ぐ","あおぐ","他五","仰视；尊敬；依靠、仰仗；一口气喝完"
"煽ぐ","あおぐ","他五","煽动"
"赤","あか","名","红色；完全"
"赤い","あかい","形","红色的；共产主义的"
"上がる","あがる","自五，辅助","上、登、升；提高、长进；（谦语）去；结束、完成；怯场；（敬语）吃、喝；（接动词连"
"明るい","あかるい","形","明亮的；开朗的、活泼的"
"秋","あき","名","秋天"
"明らか","あきらか","形動","明亮；明显、显然、确切"
"開く，明く","あく","自五","开"
"空く","あく","自五","有空隙；闲着；缺编"
"明ける","あける","他下一","天明；过年；期满、结束"
"空ける","あける","他下一","空出；腾出；不在家"
"挙げる","あげる","他下一","举；举起；举行；发动；扬（名）"
"上げる","あげる","他下一","举起、拎起；进房间；升学；进步、提高；增加数量、加深程度；得益；完成；显效；送给"
"揚げる","あげる","他下一","举起；油炸；起（货）"
"憧れる","あこがれる","自下一","向往、憧憬；被异性所吸引"
"朝","あさ","名","早上、上午"
"浅い","あさい","形","浅；（时间等）短；肤浅、少的；颜色浅"
"鮮やか","あざやか","形動","鲜明；出色"
"足","あし","名","脚、腿、（器物）的腿儿"
"味","あじ","名","味道、风味；滋味、甜头；趣味、情调"
"明日","あした","名","明天"
"味わう","あじわう","他五","品尝；玩味、欣赏；体验"
"預かる","あずかる","他五","收存、保管；照顾；承担、担任"
"預ける","あずける","他下一","寄存；托付、委托"
"焦る","あせる","自五","着急、焦躁"
"遊ぶ","あそぶ","自五","玩耍；旅行、游学；没工作；不起作用"
"与える","あたえる","他下一","授予；给予；使蒙受"
"暖かい，温かい","あたたかい","形","温暖；和睦；富足"
"頭","あたま","名","头"
"新しい","あたらしい","形","新的；新式的；新鲜的；有活力的；现代的，进步的"
"辺り","あたり","名","周围；大约；之类的"
"当たり前","あたりまえ","形動","当然；普通"
"当たる","あたる","自五","晒（太阳）、吹（风）等；顺利、成功；击中、命中、猜中；粗暴对待；承担、担任；被指"
"あちこち","あちこち","代","到处；顺序乱"
"あちら","あちら","代，名","那边；那个；那位"
"熱い","あつい","形","温度高；体温高；热烈的"
"暑い","あつい","形","气温高"
"厚い","あつい","形","有厚度；人情深厚；程度很深"
"篤い","あつい","形","病重；志笃、（感情）深厚"
"扱う","あつかう","他五","操作；对待、待遇；处理；出售；报道"
"あっさり","あっさり","副","清淡；轻易"
"集まる","あつまる","自五","集合、聚集；收集、集中"
"集める","あつめる","他下一","使集合；收集、征集；集中、吸引"
"圧力","あつりょく","名","压力；威压"
"宛て名","あてな","名","收信（件）人姓名和地址"
"当てる","あてる","他下一","碰撞；命中；晒；紧靠；中（奖）；猜对、预测正确；指名、委派"
"後","あと","名","后面；后方；以后；之后；那么、再见；（顺序）后；死后；后任、后继者、续弦；剩下的"
"後始末","あとしまつ","名，サ変","善后处理"
"穴，孔","あな","名","洞、穴；亏空"
"貴方","あなた","代","你、您"
"兄","あに","名","哥哥"
"姉","あね","名","姐姐；嫂子"
"あの","あの","連体","那个（远称）；那"
"暴く","あばく","他五","揭发；发掘"
"暴れる","あばれる","自下一","胡闹；闯荡"
"浴びせる","あびせる","他下一","浇、泼（水等）；使蒙受、使遭受；不断地质问、非难"
"浴びる","あびる","他上一","洗、淋浴、泼；沐浴；受到（非难、质问、赞扬等）"
"危ない","あぶない","形","危险的；垂危；不稳定、不确定；靠不住；危急、千钧一发"
"油，脂","あぶら","名","油；（人、动物身上的）脂肪"
"溢れる","あふれる","自下一","溢、满；形容人很多；充满、洋溢"
"阿呆","あほう","名，形動","蠢；傻子"
"甘い","あまい","形","甜；淡、咸味不足；指声音甜；不严格、宽松；考虑简单、浅薄、天真；男女间关系好；松"
"甘える","あまえる","自下一","撒娇；承蒙"
"余る","あまる","自五","剩、余；胜过"
"網","あみ","名","网；落网"
"編む","あむ","他五","编织；编纂"
"雨","あめ","名","雨、雨点般"
"怪しい","あやしい","形","奇怪的；可疑的、难以置信的；靠不住的、不确定的；要变坏的"
"怪しむ","あやしむ","他五","怀疑、觉得奇怪"
"操る","あやつる","他五","耍（木偶）；熟练的掌握、运用；驾驭、操纵"
"過ち","あやまち","名","失败、错；过失"
"誤る","あやまる","他五","错、弄错；耽误、贻误"
"謝る","あやまる","他五","认错"
"荒い","あらい","形","粗暴；剧烈；胡来"
"洗う","あらう","他五","洗；洗刷、冲洗；调查、查清"
"粗筋","あらすじ","名","梗概"
"争う","あらそう","他五","竞争；争吵、争论；主张、申辩"
"改まる","あらたまる","自五","更新；变好；郑重、客气"
"改める","あらためる","他下一","更新、改；改正；（语言、态度等）郑重；调查、计算"
"現す","あらわす","他五","使其出现；发挥"
"著す","あらわす","他五","撰写、著"
"表わす","あらわす","他五","表露；表现；意味着"
"現れる","あらわれる","自下一","显露；出现；来"
"有り難い","ありがたい","形","宝贵的；难得、感激"
"ありがとう","ありがとう","感","谢谢"
"在る","ある","自五","存在、活着；位于"
"或いは","あるいは","接","或者；用于列举同类事项；也许"
"歩く","あるく","自五","步行、外出"
"あれ","あれ","代名，感","那个；那件事；那时；那个人；那儿；哎呀"
"荒れる","あれる","自下一","海浪汹涌；荒废、荒芜；皮肤变粗糙、皴裂；（行为、秩序等）杂乱无章"
"泡","あわ","名","泡沫"
"淡い","あわい","形","颜色浅、味道淡；微少的"
"合わせる，併わせる","あわせる","他下一","合并；相加、合计；调整（机械、乐器）；适应；切合；核对；使一致、配合；混合"
"慌ただしい","あわただしい","形","不稳定的；慌忙、匆忙"
"慌てる","あわてる","自下一","着慌、慌忙"
"哀れ","あわれ","名","可怜、怜悯；情趣、情感"
"暗記","あんき","名，サ変","背诵"
"安心","あんしん","名，サ変，行動","安心、放心"
"安全","あんぜん","名，形動","安全"
"安定","あんてい","名，サ変","安定、稳定"
"案内","あんない","名，サ変","引导、通知；知道、了解"
"良い，好い","いい","形","好；合适；行、可以；最好、希望；容易"
"いい加減","いいかげん","名，副，形動","适度地；无根据、不负责任；很、相当"
"言う","いう","自，他五","说；有声响；询问；批评、评价；表达；叫、称做；议论、谣言；美言、讲情"
"家","いえ","名","房子；家；门第"
"家柄","いえがら","名","门第；家世"
"以下","いか","名","（数量、程度等）以下；下面"
"如何","いかが","副，形動","怎样、如何"
"生かす","いかす","他五","使活着；活用；使复活"
"息","いき","名","呼吸；步调"
"勢い","いきおい","名","力；活力、生气；劲头、情况；势力"
"息抜き","いきぬき","名，サ変","稍作休息、散心"
"生きる","いきる","自上一","谋生、维持生计；有效、有影响；生动、栩栩如生"
"行く","いく","自五","去；寄到；过去、逝去；往来、上班、上学；事情进展；以某种方式做"
"幾つ","いくつ","名","几个；几岁"
"幾ら","いくら","名","多少、多少钱；无论如何、即使也"
"池","いけ","名","池子、水池；砚池"
"いけない","いけない","形","不好的、不行的；没有希望的、没有指望的；禁止；（用なくてはいけない的形式表示）必"
"生ける","いける","他下一","插花；栽花"
"意見","いけん","名，サ変","想法；忠告、建议"
"以後","いご","名","以后"
"勇ましい","いさましい","形","勇敢的；大胆的；雄壮"
"石","いし","名","石头、石子；宝石"
"意地","いじ","名","气质、性情；固执、要强；物欲、食欲"
"維持","いじ","名，サ変","维持"
"医者","いしゃ","名","医生"
"以上","いじょう","名","上述；完、终；以上；既然"
"椅子","いす","名","椅子；职位"
"忙しい","いそがしい","形","忙碌"
"急ぐ","いそぐ","自他五","着急、赶紧；急、忙"
"痛い","いたい","形","疼痛；难受；（被触及弱点而）感到痛苦"
"抱く","いだく","他五","抱；怀有、抱有"
"致す","いたす","他五","“する”的谦恭说法；引起"
"頂く，戴く","いただく","他五","顶、戴、顶在上面；领受、蒙……赐给；“食う、飮む”的谦恭说法；请、给"
"痛む，傷む","いたむ","自五","（身体）疼痛；心痛、伤心；损坏"
"至る","いたる","自五","到、至；到（某时）；涉及到；结果为"
"位置","いち","名","位置；地位"
"一時","いちじ","名，副","同时；瞬时；那时、过去；暂时；1点钟"
"著しい","いちじるしい","形","显著的、明显的"
"一日","いちにち","名","一天；一整天；某日"
"一番","いちばん","名，副","第一；最；最好"
"一面","いちめん","名","事物的一个方面；一面、全面；报纸头版"
"何時","いつ","代","何时"
"一緒","いっしょ","名","一起做；同时发生；在一起"
"一杯","いっぱい","名，副","一杯、一碗；饮少量的酒；满满的；全部、沾满；极限；许多"
"一般","いっぱん","名","整个、普遍；普通、一般"
"一方","いっぽう","名，副助，接","一方面；（立场不同的双方中的）其中一方；一个劲儿地、一直；另一方面"
"いつも","いつも","副","经常地；平常"
"偽る","いつわる","他五","欺骗；说谎"
"糸","いと","名","线；乐器的弦；钓鱼线；线状物"
"従兄弟","いとこ","名","堂兄弟（姐妹）、表兄弟（姐妹）"
"以内","いない","接尾","以内"
"田舎","いなか","名","乡下、地方上的；故乡"
"犬","いぬ","名","狗；间谍、鹰犬"
"稲","いね","名","水稻"
"命","いのち","名","生命；寿命；最重要的"
"祈る","いのる","他五","（向神佛）祈祷；祝愿、希望"
"威張る","いばる","自五","趾高气扬、自吹自擂"
"今","いま","名，副","现在；当前；马上；正好、方才；用（今少しで）的形式，表示“几乎”"
"居間","いま","名","起居室"
"戒める","いましめる","他下一","训斥、警告；禁止"
"意味","いみ","名","意思；动机；含义；主旨、要点；意义"
"妹","いもうと","名","妹妹"
"嫌","いや","形動","令人厌烦"
"いよいよ","いよいよ","副","越发；终于；果真、确实"
"以来","いらい","名","那之后、以来；今后"
"いらいら","いらいら","副，サ変","情绪急躁、心理不安"
"いらっしゃる","いらっしゃる","自五","（敬语）来；（敬语）去；（敬语）在；相当于“……です”"
"入る","いる","自五","进入；达到某种状态"
"要る","いる","自五","需要、必要"
"居る","いる","自上一","（指人、动物等）有、在、居住在"
"入れる","いれる","他下一","装、放入；让入、让进；容纳；镶嵌；购进、输入；雇佣、采用；添、加；承认、容忍；加"
"色","いろ","名","色彩；肤色；表情；景象、样子；种类；恋爱、女色"
"色色","いろいろ","名，副，形動","各种各样"
"祝う","いわう","他五","庆祝；祝贺、贺礼"
"印象","いんしょう","名","印象"
"上","うえ","名","上面；表面；有关；还、而且；之后；既然……就；（接尾词）对长辈的敬称"
"植える","うえる","他下一","种、植；嵌入；打疫苗"
"伺う","うかがう","他五","打听；听说；访问"
"浮かぶ","うかぶ","自五","浮上水面、在空中飘；浮现、显露；想起"
"浮く","うく","自五","浮、飘、现；结余、剩余；高兴"
"受け入れる","うけいれる","他下一","接收；采纳；接纳"
"受け付ける","うけつける","他下一","受理；接收、采纳；对（药品、食物等）吸收"
"受け取る","うけとる","他五","接、收、领；理解"
